"a";"b";"c";"d";"answer";"question";"subject_id"
"weakly typed";"strongly typed";"moderate typed";"None of these";"B";"Java is a ........... language.
";1
"signed";"unsigned";"Both of the above";"None of these";"A";"In Java byte, short, int and long all of these are
";1
"short, 8";"byte, 8";"short, 16";"short, 16";"B";"The smallest integer type is ......... and its size is ......... bits.
";1
"6";"7";"8";"9";"C";"How many primitive data types are there in Java?
";1
"16 bit";"32 bit";"64 bit";"Depends on execution environment";"B";"Size of int in Java is
";1
"2";"129";"-127";"Compiler error";"C";"What will be output of following program?

public class Test{
      public static void main(String[] args){
            byte b=127;
            b++;
            b++;
            System.out.println(b);
      }
}

";1
"4";"5";"12";"11";"B";"Determine output:

public class Test{
      int a = 10;
    
      public void method(int a){
            a += 1;
            System.out.println(++a);
      }
      public static void main(String args[]){
            Test t = new Test();
            t.method(3);
      }
}

";1
"7 9 0";"7 0 0";"Compile error - $7 is not valid identifier.";"Compile error - do is not valid identifier.";"D";"What is the output for the below code?

public class Test{
      int _$;
      int $7;
      int do;

      public static void main(String argv[]){
            Test test = new Test();
            test.$7=7;
            test.do=9;
            System.out.println(test.$7);
            System.out.println(test.do);
            System.out.println(test._$);
      }
}

";1
"8 7";"10 7";"Compilation fails with an error at line 3";"Compilation fails with an error at line 5";"A";"What is the output for the below code ?

1. public class Test{
2.       public static void main(String[] args){
3.             int i = 010;
4.             int j = 07;
5.             System.out.println(i);
6.             System.out.println(j);
7.       }
8. }

";1
"14 21";"14 13";"Compilation fails with an error at line 6";"Compilation fails with an error at line 4";"C";"What is the output for the below code ?

1. public class Test{
2.       public static void main(String[] args){
3.             byte b = 6;
4.             b+=8;
5.             System.out.println(b);
6.             b = b+7;
7.             System.out.println(b);
8.       }
9. }

";1
"128";"0";"Compilation fails with an error at line 3";"Compilation fails with an error at line 4";"C";"What will be the output for the below code ?

1. public class Test{
2.       public static void main(String[] args){
3.             byte i = 128;
4.             System.out.println(i);
5.       }
6. }

";1
"17";"0";"Compilation fails with an error at line 5";"Compilation fails with an error at line 8";"D";"What will be the output for the below code ?

1. public class Test{
2.       int i=8;
3.       int j=9;
4.       public static void main(String[] args){
5.             add();
6.       }
7.       public static void add(){
8.             int k = i+j;
9.             System.out.println(k);
10.      }
11. }

";1
